f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,label
9,0,0,0,0.0,-1,-1,-1245,0,0,0,0,4.57,0.00,6.00,5.5,50.0,11,57.0,82.0,6,0,0,0,2,20,1265,1,36,0,0,0,0,0,17,90,0,0,0,0.750,1.000,1,105,1
9,0,0,0,0.0,-1,-1,-1032,0,0,0,0,3.98,0.82,0.02,4.5,49.0,6,57.0,77.0,1520,79916,0,0,2,233,1265,1,36,0,0,0,0,10,21,87,0,0,0,0.625,1.000,1,105,1
8,0,0,0,0.999999,-1,-1,-280,0,0,0,0,4.76,0.00,0.00,5.2,50.0,15,52.0,86.0,0,36,0,0,3,58,338,0,-1,0,0,0,0,0,112,85,0,0,0,1.000,1.000,1,-1,1
2,1,0,1,2.63E-4,5,1,-41,0,0,0,0,4.61,1.38,0.04,5.3,50.0,8,78.0,78.0,37769,913744,0,0,2,16,57,2,27,1,0,0,1,9,99,91,0,0,0,0.250,1.000,1,109,1
2,1,0,1,2.63E-4,5,1,-26,0,0,0,0,4.52,2.00,0.07,5.3,50.0,7,77.0,77.0,100000,1424025,0,0,3,31,57,2,27,1,0,0,0,0,101,88,0,0,0,0.067,1.000,1,109,1
2,1,0,1,2.63E-4,5,1,-4,0,0,0,0,4.55,2.70,0.08,5.3,50.0,6,80.0,81.0,93994,1138376,0,0,3,53,57,2,27,1,0,0,1,2286,68,84,0,0,0,0.125,1.000,1,109,1
3,0,0,0,3.15E-4,-1,-1,239,0,0,0,0,3.47,0.08,0.05,4.2,50.0,4,63.0,40.0,359,7888,0,0,2,370,131,3,-1,0,0,0,1,1,95,93,0,0,1,0.333,1.000,1,104,1
2,1,0,1,3.29E-4,-1,5,-38,0,0,0,0,4.36,1.14,0.04,5.2,50.0,9,67.0,67.0,9813,266111,0,0,2,64,102,1,64,1,0,0,1,124,114,85,0,0,0,0.067,1.000,1,110,1
8,0,0,0,0.012656,-1,-1,-1392,0,0,0,0,3.07,0.18,0.14,4.4,25.0,8,36.0,58.0,2179,15768,0,0,1,226,1618,3,216,1,0,0,0,7,90,91,0,0,0,0.118,1.000,1,105,1
8,0,0,0,0.012656,-1,-1,-1402,0,0,0,0,3.03,0.41,0.05,4.3,28.0,7,34.0,59.0,1939,38374,0,0,2,216,1618,3,216,1,0,0,1,8,140,94,0,0,0,0.364,0.750,1,105,1
8,0,0,0,0.012656,-1,-1,-1512,0,0,0,0,3.71,1.05,0.02,4.7,40.0,7,53.0,66.0,4460,182224,0,0,1,106,1618,3,216,1,0,0,0,7,66,84,0,0,0,0.375,1.000,1,105,1
8,0,0,0,0.999999,-1,-1,-280,0,0,0,0,4.76,0.00,0.00,5.2,50.0,15,52.0,86.0,0,36,0,0,3,58,338,0,-1,0,0,0,0,0,112,85,0,0,0,1.000,1.000,1,-1,1
4,0,0,0,0.106596,-1,-1,-268,0,0,0,0,4.33,1.45,0.04,5.1,50.0,9,53.0,84.0,37216,830481,0,0,3,50,318,2,50,1,0,1,1,234,384,90,0,0,0,0.111,1.000,1,104,1
4,0,0,0,0.106596,-1,-1,-268,0,0,0,0,3.94,1.26,0.08,5.1,50.0,8,52.0,58.0,20236,262433,0,0,0,50,318,2,50,0,0,1,0,174,33,79,0,0,0,0.111,1.000,1,104,1
4,0,0,0,0.106596,-1,-1,-268,0,0,0,0,4.93,0.00,0.11,5.7,50.0,15,57.0,86.0,27,237,0,0,3,50,318,2,50,1,0,0,0,2,23,84,0,0,1,1.000,1.000,1,104,1
4,0,0,0,0.001537,-1,-1,-312,0,0,0,0,3.98,0.00,37.00,5.4,50.0,10,52.0,45.0,37,0,0,0,0,37,349,1,10,1,0,0,1,0,11,41,0,0,0,0.400,1.000,1,108,1
4,0,0,1,0.003297,-1,-1,-1577,0,0,0,0,4.43,2.06,0.04,5.4,50.0,7,63.0,86.0,100000,2755424,0,0,3,86,1663,0,86,1,1,1,1,182,71,90,0,0,0,0.167,1.000,1,-1,1
4,0,0,1,0.003297,-1,-1,-1631,0,0,0,0,4.20,2.30,0.14,5.1,50.0,6,57.0,85.0,100000,709947,0,0,3,32,1663,0,86,1,0,0,0,905,121,86,0,0,0,0.125,1.000,1,-1,1
5,0,0,0,0.014702,-1,-1,-164,0,0,0,0,3.26,0.36,0.10,3.9,30.0,5,45.0,79.0,3268,31991,0,0,3,15,179,1,12,1,0,0,0,13,113,82,0,0,0,0.200,1.000,1,-1,1
5,0,0,0,0.014702,-1,-1,-174,0,0,0,0,3.00,0.00,34.00,4.3,30.0,3,45.0,62.0,136,4,0,0,2,5,179,1,12,1,0,0,0,2,23,82,0,0,0,0.100,1.000,1,-1,1
2,0,0,0,2.91E-4,-1,-1,-650,0,0,0,0,4.50,1.64,0.03,5.2,50.0,7,77.0,77.0,29342,839193,0,0,0,78,728,1,7,0,0,1,1,1043,20,87,0,0,1,0.154,1.000,1,109,1
3,0,0,0,0.006039,-1,-1,171,0,0,0,0,4.74,0.22,0.03,5.5,50.0,15,52.0,80.0,724,20763,0,0,2,279,108,3,94,1,0,0,0,3,33,88,0,0,0,1.000,1.000,1,112,1
3,0,0,0,0.006039,-1,-1,104,0,0,0,0,4.01,1.01,0.19,4.8,50.0,6,52.0,80.0,15685,84509,0,0,0,212,108,3,94,1,0,0,0,37,11,36,0,0,1,0.333,1.000,1,112,1
3,0,0,0,0.006039,-1,-1,32,0,0,0,0,3.83,1.15,0.02,4.6,50.0,2,57.0,84.0,11998,783028,0,0,0,140,108,3,94,1,0,0,0,81,32,85,0,0,0,0.125,1.000,1,112,1
4,0,0,1,0.003297,-1,-1,-1408,0,0,0,0,4.38,2.14,0.07,5.2,50.0,7,63.0,85.0,100000,1391817,0,0,3,255,1663,0,86,1,0,0,1,419,105,95,0,0,0,0.143,1.000,1,-1,1
7,0,0,0,0.075746,-1,-1,-68,0,0,0,0,4.35,0.15,0.02,5.3,50.0,13,52.0,61.0,305,14245,0,0,1,546,614,0,884,1,0,1,0,1,19,87,0,0,0,0.154,1.000,1,-1,1
7,0,0,0,0.075746,-1,-1,273,0,0,0,0,4.56,1.00,0.00,5.4,50.0,13,62.0,64.0,452,272521,0,0,2,887,614,0,884,0,0,1,1,0,21,90,0,0,0,0.286,1.000,1,-1,1
11,0,0,0,0.065351,-1,-1,0,0,0,0,0,4.41,0.05,0.03,5.4,50.0,8,58.0,85.0,122,4483,0,0,3,98,98,0,96,1,0,0,1,0,124,97,0,0,0,0.353,1.000,1,102,1
7,0,0,0,0.075746,-1,-1,272,0,0,0,0,4.61,0.03,0.18,5.5,50.0,15,56.0,64.0,432,2414,0,0,1,886,614,0,884,0,0,1,0,1,20,90,0,0,0,0.667,1.000,1,-1,1
11,0,0,0,0.065351,-1,-1,-2,0,0,0,0,4.31,0.01,0.17,4.9,46.0,9,60.0,83.0,101,583,0,0,3,96,98,0,96,1,0,0,0,9,50,93,0,0,0,0.375,1.000,1,102,1
3,0,0,0,0.001857,-1,-1,-1789,0,0,0,0,3.92,1.62,0.04,5.1,50.0,8,63.0,42.0,54543,1233555,0,0,2,93,1882,0,93,1,0,1,1,222,31,89,0,0,1,0.125,1.000,1,-1,1
3,0,0,0,0.001857,-1,-1,-1857,0,0,0,0,3.69,0.53,0.08,4.6,50.0,8,52.0,44.0,3735,47880,0,0,0,25,1882,0,93,1,0,0,1,40,68,99,0,0,0,0.222,1.000,1,-1,1
5,0,0,0,0.067855,-1,-1,15,0,0,0,0,4.22,0.07,0.21,4.9,34.0,12,57.0,83.0,1145,5568,0,0,2,142,127,3,72,0,0,0,1,2,46,99,0,0,0,0.500,1.000,1,101,1
5,0,0,0,0.067855,-1,-1,-55,0,0,0,0,3.73,0.24,0.03,4.8,34.0,6,53.0,82.0,725,23145,0,0,1,72,127,3,72,0,0,0,0,0,56,91,0,0,0,0.333,1.000,1,101,1
5,0,0,0,0.067855,-1,-1,-52,0,0,0,0,3.53,0.44,0.02,4.8,34.0,4,49.0,81.0,794,43351,0,0,1,75,127,3,72,0,0,0,1,1,41,102,0,0,0,0.200,1.000,1,101,1
4,0,0,0,0.031076,-1,-1,207,0,0,0,0,3.95,0.23,0.02,4.5,47.0,6,56.0,79.0,347,22207,0,0,0,413,206,0,-1,1,0,0,0,1,40,112,0,0,1,0.188,1.000,1,-1,1
3,0,0,0,8.32E-4,1,1,-2,0,1,0,0,4.31,0.72,0.02,4.6,50.0,5,79.0,79.0,1119,65819,0,0,3,4,6,1,30,1,0,0,1,149,138,83,0,0,1,0.091,1.000,1,102,1
8,0,0,0,0.016176,-1,-1,-1005,0,0,0,0,3.53,0.13,0.04,4.8,35.0,8,46.0,61.0,477,12319,0,0,2,98,1103,0,98,0,0,0,0,20,29,89,0,0,0,0.231,1.000,1,-1,1
8,0,0,0,0.023051,-1,-1,-171,0,0,0,0,4.43,0.44,0.06,4.8,50.0,11,55.0,83.0,2347,40040,0,0,2,199,370,0,96,1,0,0,0,44,64,85,0,0,0,0.364,1.000,1,-1,1
8,0,0,0,0.023051,-1,-1,-183,0,0,0,0,4.00,0.43,0.03,4.7,50.0,4,58.0,84.0,1268,41781,0,0,1,187,370,0,96,0,0,0,1,7,19,90,0,0,0,0.235,1.000,1,-1,1
8,0,0,0,0.023051,-1,-1,-274,0,0,0,0,4.15,0.70,0.04,4.7,45.0,7,62.0,83.0,2632,66807,0,0,2,96,370,0,96,1,0,0,1,8,31,91,0,0,0,0.273,1.000,1,-1,1
4,0,0,0,0.001537,-1,-1,-312,0,0,0,0,3.98,0.00,37.00,5.4,50.0,10,52.0,45.0,37,0,0,0,0,37,349,1,10,1,0,0,1,0,11,41,0,0,0,0.400,1.000,1,108,1
7,0,0,0,0.011117,-1,-1,-428,0,0,0,0,3.32,0.86,0.01,4.0,29.0,9,50.0,55.0,534,85601,0,0,2,532,960,0,-1,1,0,0,1,1,36,93,0,0,0,0.286,1.000,1,-1,1
