@relation 'tmp_1w-weka.filters.unsupervised.attribute.Remove-R2-11,14-21,23,25-35,37-55'

@attribute pageShowType {class0,class1}
@attribute ' pMaxMr' numeric
@attribute ' pMaxTr' numeric
@attribute ' isOnlyOneTerm' {FALSE,TRUE}
@attribute ' isArticleOld' {FALSE,TRUE}
@attribute ' maxRNum' numeric

@data
class0,22,4.2,FALSE,FALSE,462
class0,50,5,FALSE,FALSE,8676
class0,50,4.9,FALSE,FALSE,11461
class0,50,4.6,FALSE,FALSE,1430
class0,50,5.6,FALSE,FALSE,14192
class0,16,4.3,FALSE,TRUE,2035
class0,50,5.4,FALSE,FALSE,1598
class0,50,4.9,FALSE,FALSE,211
class0,25,4.2,FALSE,FALSE,100000
class0,30,4.3,FALSE,FALSE,1915
class0,50,5.3,FALSE,TRUE,267
class0,50,5.5,FALSE,FALSE,7906
class0,50,5.4,FALSE,TRUE,8168
class0,41,4.8,FALSE,TRUE,3623
class0,50,4.2,FALSE,TRUE,2956
class0,50,5.3,FALSE,TRUE,267
class0,50,5,FALSE,TRUE,7745
class0,41,4.6,FALSE,FALSE,776
class0,50,5.6,FALSE,FALSE,1076
class0,50,5.2,FALSE,FALSE,5040
class0,47,4.8,FALSE,FALSE,1177
class0,49,4.4,FALSE,FALSE,1688
class0,31,4.6,FALSE,FALSE,70
class0,50,4.9,FALSE,FALSE,5061
class0,33,4.7,FALSE,FALSE,32
class0,50,5.3,FALSE,TRUE,27197
class0,50,5.4,FALSE,FALSE,17434
class0,34,4.8,FALSE,FALSE,378
class0,50,5.3,FALSE,FALSE,5
class0,34,3.8,FALSE,FALSE,381
class0,35,4.3,FALSE,TRUE,0
class0,32,4.8,FALSE,TRUE,8036
class0,50,5.3,FALSE,FALSE,22458
class0,50,4.8,FALSE,TRUE,4639
class0,50,5.5,FALSE,FALSE,3785
class0,38,4.6,FALSE,FALSE,540
class0,42,4.3,FALSE,FALSE,367
class0,50,5.6,FALSE,FALSE,11
class0,34,4.2,FALSE,TRUE,315
class0,50,4.9,FALSE,FALSE,857
class0,36,4.7,FALSE,FALSE,1275
class0,50,5.6,FALSE,FALSE,11
class0,50,5.7,FALSE,FALSE,59523
class0,50,5.6,FALSE,FALSE,11
class0,40,4.5,FALSE,FALSE,100000
class0,19,3.9,FALSE,FALSE,2510
class0,50,5.1,FALSE,FALSE,1847
class0,44,5,FALSE,FALSE,1798
class0,23,4.8,FALSE,FALSE,154
class0,50,5.3,FALSE,FALSE,700
class0,50,4.6,FALSE,FALSE,730
class0,50,4.9,FALSE,TRUE,44899
class0,50,5.4,FALSE,TRUE,5633
class0,46,4.4,FALSE,FALSE,1173
class0,27,4,FALSE,TRUE,1309
class0,50,5.6,FALSE,FALSE,484
class0,44,4.8,FALSE,FALSE,3569
class0,50,5.4,FALSE,FALSE,131
class0,50,5.4,FALSE,TRUE,4462
class0,50,5.6,FALSE,FALSE,1370
class0,9,4.1,FALSE,FALSE,21413
class0,37,4.9,FALSE,FALSE,1737
class0,31,4.4,FALSE,FALSE,390
class0,50,5.4,FALSE,FALSE,47653
class0,50,5.5,FALSE,FALSE,1231
class0,49,4.7,FALSE,FALSE,26
class0,50,5.2,FALSE,FALSE,51055
class0,33,4.3,FALSE,FALSE,12
class0,50,4.8,FALSE,FALSE,100000
class0,50,5.6,FALSE,TRUE,7808
class0,50,5.1,FALSE,TRUE,90563
class0,50,4.9,FALSE,FALSE,649
class0,27,4.2,FALSE,FALSE,319
class0,50,5.3,FALSE,TRUE,70104
class0,29,4.7,FALSE,FALSE,100000
class0,34,4.5,FALSE,FALSE,38982
class0,31,4.2,FALSE,FALSE,17564
class0,50,4.7,FALSE,FALSE,2718
class0,50,5.4,FALSE,FALSE,61648
class0,50,5.2,FALSE,FALSE,4192
class0,50,4.8,FALSE,FALSE,2466
class0,50,5.7,FALSE,FALSE,999
class0,45,4.6,FALSE,FALSE,4662
class0,50,5.5,FALSE,FALSE,2003
class0,34,4.2,FALSE,FALSE,34705
class0,43,4.6,FALSE,TRUE,69963
class0,50,4.7,FALSE,FALSE,2649
class0,38,4.6,FALSE,FALSE,2403
class0,50,5.4,FALSE,FALSE,24327
class0,50,5.6,FALSE,FALSE,39929
class0,25,4.8,FALSE,FALSE,0
class0,50,5.4,FALSE,FALSE,7827
class0,30,4.7,FALSE,FALSE,6790
class0,50,5.5,FALSE,FALSE,2003
class0,47,5.5,FALSE,FALSE,100000
class0,50,5.5,FALSE,FALSE,10635
class0,50,5.4,FALSE,FALSE,20138
class0,50,5.6,FALSE,TRUE,2747
class0,50,5.3,FALSE,FALSE,10420
class0,50,5,FALSE,FALSE,774
class0,50,5.4,FALSE,FALSE,377
class0,50,5.5,FALSE,FALSE,76510
class0,50,5.5,FALSE,FALSE,71
class0,50,5.3,FALSE,FALSE,44533
class0,50,5.5,FALSE,FALSE,11869
class0,50,4.7,FALSE,FALSE,3543
class0,50,5.3,FALSE,FALSE,49695
class0,50,5.3,FALSE,FALSE,21342
class0,50,4.6,FALSE,TRUE,50255
class0,50,5.3,FALSE,FALSE,10420
class0,50,5.6,FALSE,TRUE,17742
class0,50,5.3,FALSE,FALSE,63
class0,50,5.2,FALSE,TRUE,1265
class0,50,5.5,FALSE,FALSE,14978
class0,50,5.4,FALSE,FALSE,6567
class0,50,5.7,FALSE,FALSE,4801
class0,34,4.1,FALSE,TRUE,1230
class0,50,5.4,FALSE,FALSE,16
class0,19,4,FALSE,TRUE,56
class0,34,4.6,FALSE,TRUE,312
class0,50,4.8,FALSE,FALSE,100000
class0,50,5.5,FALSE,FALSE,7906
class0,43,4.8,FALSE,TRUE,1294
class0,27,4.8,FALSE,FALSE,1847
class0,50,4.9,FALSE,FALSE,5061
class0,50,5.7,FALSE,FALSE,1671
class0,50,5.4,FALSE,FALSE,555
class0,38,4.7,FALSE,FALSE,1208
class0,50,5.3,FALSE,TRUE,100000
class0,34,4.8,FALSE,FALSE,210
class0,50,5.6,FALSE,FALSE,7
class0,50,5.1,FALSE,FALSE,30160
class0,50,5.6,FALSE,FALSE,1640
class0,50,5.5,FALSE,FALSE,14978
class0,44,4.7,FALSE,FALSE,15799
class0,36,3.9,FALSE,FALSE,15064
class0,36,3.9,FALSE,FALSE,15064
class0,10,3.8,FALSE,FALSE,132
class0,50,5.1,FALSE,FALSE,36472
class0,50,4.8,FALSE,FALSE,34767
class0,47,4.8,FALSE,FALSE,265
class0,50,5.5,FALSE,FALSE,1017
class0,38,4.1,FALSE,FALSE,89
class0,50,5.4,FALSE,FALSE,24895
class0,50,5.4,FALSE,FALSE,100000
class0,50,3,FALSE,FALSE,37755
class0,50,4.8,FALSE,FALSE,4184
class0,50,5.2,FALSE,FALSE,100000
class0,50,5.4,FALSE,FALSE,45900
class0,50,5.5,FALSE,FALSE,29926
class0,36,4.5,FALSE,TRUE,1462
class0,22,4.2,FALSE,FALSE,102
class0,31,4.2,FALSE,TRUE,35
class0,50,5.2,FALSE,FALSE,100000
class0,50,5.5,FALSE,FALSE,181
class0,50,5.6,FALSE,FALSE,11911
class0,50,5.3,FALSE,FALSE,77118
class0,50,5.2,FALSE,FALSE,116
class0,50,4.9,FALSE,FALSE,5061
class0,45,4.9,FALSE,FALSE,1401
class0,50,5.3,TRUE,FALSE,23426
class0,50,5.3,FALSE,FALSE,10864
class0,50,4.6,FALSE,FALSE,86381
class0,50,5.6,FALSE,FALSE,7
class0,50,5.4,FALSE,FALSE,3524
class0,50,5,FALSE,FALSE,26165
class0,27,4.2,FALSE,TRUE,10508
class0,33,4.4,FALSE,FALSE,100000
class0,43,4.8,FALSE,TRUE,193
class0,50,5.4,FALSE,TRUE,27880
class0,38,4.1,FALSE,FALSE,24
class0,50,5.4,FALSE,FALSE,436
class0,50,5.6,FALSE,FALSE,100000
class0,38,4.7,FALSE,FALSE,1208
class0,50,4.5,FALSE,TRUE,3777
class0,50,4.8,FALSE,FALSE,33827
class0,40,4.9,FALSE,FALSE,32
class0,50,5.2,FALSE,FALSE,39230
class0,50,5.5,FALSE,FALSE,14978
class0,50,4,FALSE,FALSE,41
class0,29,4.6,FALSE,FALSE,1312
class0,50,5.6,FALSE,FALSE,350
class0,38,4.6,FALSE,FALSE,2403
class0,50,5.5,FALSE,FALSE,47922
class0,50,5.3,FALSE,FALSE,21342
class0,50,5.6,FALSE,FALSE,1543
class0,50,4.8,FALSE,FALSE,102
class0,40,4.4,FALSE,FALSE,950
class0,43,4.8,FALSE,FALSE,650
class0,50,5,FALSE,FALSE,928
class0,50,2.6,FALSE,FALSE,1403
class0,50,5.2,FALSE,FALSE,39230
class0,31,4.6,FALSE,FALSE,192
class0,24,4.5,FALSE,FALSE,3657
class0,50,5.3,FALSE,FALSE,5541
class0,50,5.4,FALSE,FALSE,7827
class0,40,4.4,FALSE,FALSE,950
class0,50,5.5,FALSE,FALSE,3624
class0,50,5.5,FALSE,FALSE,3624
class0,50,5.3,FALSE,FALSE,10739
class0,50,5.6,FALSE,FALSE,31
class0,50,5.2,FALSE,FALSE,70283
class0,50,5.3,TRUE,TRUE,8152
class0,30,4.5,FALSE,FALSE,2413
class0,32,4.5,FALSE,TRUE,1458
class0,50,5,FALSE,FALSE,730
class0,50,5.4,FALSE,FALSE,3118
class0,20,4,FALSE,TRUE,6576
class0,35,4.8,FALSE,FALSE,260
class0,50,5.6,FALSE,FALSE,6752
class0,50,5.5,FALSE,TRUE,29784
class0,38,4.7,FALSE,FALSE,1208
class0,50,5.2,FALSE,FALSE,100000
