@relation tmp

@attribute oldpos_page numeric
@attribute articlesPos numeric
@attribute newspos numeric
@attribute list.size() numeric
@attribute pMaxMr numeric
@attribute pMaxTr numeric
@attribute isOfficial {FALSE,TRUE}
@attribute isFirstSite {FALSE,TRUE}
@attribute isOnlyOneTerm {FALSE,TRUE}
@attribute isNav {FALSE,TRUE}
@attribute isExNav {FALSE,TRUE}
@attribute fixRank1 numeric
@attribute site_num numeric
@attribute pageShowType {FALSE,TRUE}
@attribute vr_num_3_out numeric
@attribute vr_num_3_total numeric
@attribute weixinArticleClickPos numeric
@attribute firstBaikePos numeric
@attribute isFirstVideo {FALSE,TRUE}
@attribute isArticleOld {FALSE,TRUE}
@attribute queryTerms numeric
@attribute wxArticle_top3fr numeric
@attribute wxArticle_top2fr numeric
@attribute pMaxFr numeric
@attribute firstDate numeric
@attribute hasTimeliness {FALSE,TRUE}
@attribute avg3 numeric
@attribute rnum[0] numeric
@attribute maxRNum numeric
@attribute fans[0] numeric
@attribute maxFans numeric
@attribute avgread[0] numeric
@attribute maxAvgRead numeric
@attribute avgpublish[0] numeric
@attribute maxAvgPublish numeric
@attribute hasMingyiVr {FALSE,TRUE}

@data
12,9,-1,12,50,4.4,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,0,1,-1,3,FALSE,FALSE,3,3.666667,2.5,6,47,FALSE,2455,815,1364,8507,8507,672,1064,84,116,FALSE
14,5,5,14,50,5.4,TRUE,TRUE,FALSE,TRUE,TRUE,0,7,FALSE,0,0,239,-1,FALSE,FALSE,2,2.666667,3.5,4,169,FALSE,360,28248,100000,713914,713914,18672,18672,343,343,FALSE
10,9,-1,10,50,5.4,FALSE,TRUE,FALSE,TRUE,FALSE,0,3,FALSE,0,0,239,8,FALSE,FALSE,2,4.666667,4.5,7,400,FALSE,792,49555,49555,546727,546727,32265,32265,84,239,FALSE
10,4,0,10,50,5.6,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,0,0,239,2,FALSE,TRUE,4,9.666667,10.5,15,583,FALSE,41,10549,23286,114416,114416,4587,14124,146,146,FALSE
12,9,-1,12,50,5.4,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,0,1,239,-1,TRUE,FALSE,2,7.333333,8.5,10,291,FALSE,1476,16073,32981,220818,220818,15297,15297,162,162,FALSE
10,5,-1,10,50,5.4,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,0,0,-1,-1,FALSE,FALSE,2,10.5,10.5,11,89,FALSE,395,43,43,2044,2044,88,88,20,20,FALSE
14,4,4,14,50,5.3,TRUE,TRUE,FALSE,TRUE,TRUE,0,6,FALSE,1,1,-1,3,FALSE,FALSE,1,1,0,3,115,FALSE,12,23067,61053,415762,415762,15754,32714,22,45,FALSE
11,3,-1,11,41,4.4,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,1,1,-1,6,FALSE,FALSE,7,11.666667,12,12,229,FALSE,664,9117,9117,229747,229747,13164,13164,24,71,FALSE
11,4,-1,11,50,5,FALSE,TRUE,FALSE,TRUE,FALSE,0,5,FALSE,1,1,-1,-1,FALSE,FALSE,5,11.333333,11,12,112,FALSE,2,8,8,5,5,0,0,0,0,FALSE
11,4,3,11,50,5.4,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,1,1,239,1,TRUE,FALSE,3,11,10.5,14,5,FALSE,1,38151,63654,1259034,1259034,25555,40110,45,45,FALSE
12,1,-1,12,23,4.5,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,1,1,-1,-1,FALSE,FALSE,5,10,10,10,89,FALSE,11,86,86,102,102,0,0,0,0,FALSE
12,4,6,12,50,5.4,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,0,1,239,4,FALSE,TRUE,2,7.666667,8.5,12,121,FALSE,297,46363,100000,366327,817208,62762,92549,9,218,FALSE
10,6,-1,10,37,4.9,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,FALSE,0,0,239,-1,FALSE,FALSE,3,6.333333,6.5,8,5,FALSE,922,56,1148,104,18613,49,1365,1,16,FALSE
10,4,-1,10,34,4.4,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,0,0,-1,0,FALSE,FALSE,2,12.666667,13,13,439,FALSE,104,3893,3893,12395,12395,0,0,0,0,FALSE
11,4,-1,11,45,4.6,FALSE,TRUE,FALSE,TRUE,FALSE,0,4,FALSE,1,1,-1,-1,FALSE,TRUE,4,5,5.5,6,924,FALSE,4,97,97,5095,8929,152,152,60,113,FALSE
11,4,-1,11,25,4,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,1,1,-1,-1,FALSE,TRUE,3,6,6,6,573,TRUE,229,93,93,0,0,0,0,0,0,FALSE
10,4,-1,10,27,4.1,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,0,0,-1,-1,FALSE,TRUE,3,5.333333,6,7,816,FALSE,16,90,344,1281,1941,0,61,0,123,FALSE
11,9,-1,11,50,4.7,TRUE,TRUE,FALSE,TRUE,TRUE,0,5,FALSE,0,1,-1,6,FALSE,FALSE,2,1.666667,2.5,4,14,FALSE,449,26,2389,704,58512,29,2801,39,178,FALSE
11,4,-1,11,44,4.6,FALSE,TRUE,FALSE,TRUE,FALSE,0,2,FALSE,0,1,-1,-1,FALSE,TRUE,3,5.666667,7,9,165,TRUE,34,217,303,2605,37131,41,867,13,95,FALSE
10,3,-1,10,23,3.9,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,0,0,-1,-1,FALSE,FALSE,5,7,7,7,205,FALSE,322,154,154,51617,51617,1660,1660,128,128,FALSE
11,9,-1,11,50,5.4,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,FALSE,1,1,-1,2,FALSE,FALSE,2,6.333333,6,7,229,FALSE,69,33059,33059,600032,600032,49710,49710,240,240,FALSE
11,6,-1,11,50,4.7,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,0,1,-1,-1,FALSE,FALSE,3,5,5,5,54,FALSE,256,16492,24139,273906,401710,12174,12174,61,109,FALSE
10,4,0,10,50,5.3,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,0,0,236,-1,FALSE,TRUE,3,3.666667,2,7,531,TRUE,4,17114,31736,453250,453250,0,11443,0,150,FALSE
10,3,-1,10,50,5.6,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,1,1,-1,-1,FALSE,FALSE,4,9.333333,6.5,15,116,FALSE,67,10158,12244,263787,263787,5623,5623,99,99,FALSE
14,-1,5,14,50,5.3,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,1,1,-1,8,TRUE,FALSE,2,4.666667,6,7,27,FALSE,5,32238,100000,563072,1607400,34160,70321,226,240,FALSE
11,8,-1,11,50,4.8,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,1,1,239,5,TRUE,FALSE,3,1.333333,1,5,3,FALSE,4,585,32757,56855,530438,963,18801,160,248,FALSE
13,5,-1,13,50,5.7,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,2,2,-1,3,FALSE,FALSE,3,11.333333,13,15,111,FALSE,111,2900,2900,6726,273455,0,12154,0,108,FALSE
